valid_tn_step,step,valid_tp_step,valid_fp_step,valid_fn_step,valid_WAcc,valid_F1,valid_fn_epoch,valid_Loss,valid_tp_epoch,epoch,valid_tn_epoch,valid_fp_epoch
11172.0,332,29.0,291.0,124.0,,,,,,,,
11174.0,333,30.0,290.0,122.0,,,,,,,,
11175.0,334,31.0,289.0,121.0,,,,,,,,
11171.0,335,27.0,293.0,125.0,,,,,,,,
11166.0,336,31.0,289.0,130.0,,,,,,,,
11162.0,337,31.0,289.0,134.0,,,,,,,,
11173.0,338,34.0,286.0,123.0,,,,,,,,
11156.0,339,26.0,294.0,140.0,,,,,,,,
11172.0,340,26.0,294.0,124.0,,,,,,,,
11175.0,341,23.0,297.0,121.0,,,,,,,,
11184.0,342,34.0,286.0,112.0,,,,,,,,
11184.0,343,34.0,286.0,112.0,,,,,,,,
11197.0,344,27.0,293.0,99.0,,,,,,,,
11177.0,345,30.0,290.0,119.0,,,,,,,,
11164.0,346,33.0,287.0,132.0,,,,,,,,
11175.0,347,23.0,297.0,121.0,,,,,,,,
11185.0,348,20.0,300.0,111.0,,,,,,,,
11155.0,349,30.0,290.0,141.0,,,,,,,,
11160.0,350,27.0,293.0,136.0,,,,,,,,
11181.0,351,28.0,292.0,115.0,,,,,,,,
11158.0,352,27.0,293.0,138.0,,,,,,,,
11167.0,353,31.0,289.0,129.0,,,,,,,,
11190.0,354,33.0,287.0,106.0,,,,,,,,
11182.0,355,33.0,287.0,114.0,,,,,,,,
11169.0,356,20.0,300.0,127.0,,,,,,,,
11158.0,357,24.0,296.0,138.0,,,,,,,,
11171.0,358,21.0,299.0,125.0,,,,,,,,
11176.0,359,32.0,288.0,120.0,,,,,,,,
11173.0,360,27.0,293.0,123.0,,,,,,,,
11160.0,361,39.0,281.0,136.0,,,,,,,,
11158.0,362,27.0,293.0,138.0,,,,,,,,
11148.0,363,34.0,286.0,148.0,,,,,,,,
11176.0,364,28.0,292.0,120.0,,,,,,,,
11178.0,365,31.0,289.0,118.0,,,,,,,,
11182.0,366,29.0,291.0,114.0,,,,,,,,
11179.0,367,25.0,295.0,117.0,,,,,,,,
11168.0,368,29.0,291.0,128.0,,,,,,,,
11186.0,369,30.0,290.0,110.0,,,,,,,,
11157.0,370,34.0,286.0,139.0,,,,,,,,
11177.0,371,28.0,292.0,119.0,,,,,,,,
11152.0,372,32.0,288.0,144.0,,,,,,,,
11166.0,373,28.0,292.0,130.0,,,,,,,,
11153.0,374,35.0,285.0,143.0,,,,,,,,
11164.0,375,32.0,288.0,132.0,,,,,,,,
11164.0,376,32.0,288.0,132.0,,,,,,,,
11161.0,377,31.0,289.0,135.0,,,,,,,,
11188.0,378,39.0,281.0,108.0,,,,,,,,
11171.0,379,28.0,292.0,125.0,,,,,,,,
11158.0,380,25.0,295.0,138.0,,,,,,,,
11150.0,381,29.0,291.0,146.0,,,,,,,,
11163.0,382,29.0,291.0,133.0,,,,,,,,
11160.0,383,32.0,288.0,136.0,,,,,,,,
11160.0,384,36.0,284.0,136.0,,,,,,,,
11166.0,385,29.0,291.0,130.0,,,,,,,,
11170.0,386,27.0,293.0,126.0,,,,,,,,
11172.0,387,24.0,296.0,124.0,,,,,,,,
11158.0,388,27.0,293.0,138.0,,,,,,,,
11164.0,389,21.0,299.0,132.0,,,,,,,,
11162.0,390,26.0,294.0,134.0,,,,,,,,
11170.0,391,28.0,292.0,126.0,,,,,,,,
11150.0,392,30.0,290.0,146.0,,,,,,,,
11184.0,393,26.0,294.0,112.0,,,,,,,,
11175.0,394,27.0,293.0,121.0,,,,,,,,
11156.0,395,35.0,285.0,140.0,,,,,,,,
11175.0,396,21.0,299.0,121.0,,,,,,,,
11175.0,397,28.0,292.0,121.0,,,,,,,,
11184.0,398,31.0,289.0,112.0,,,,,,,,
11164.0,399,28.0,292.0,132.0,,,,,,,,
11169.0,400,23.0,297.0,127.0,,,,,,,,
11184.0,401,27.0,293.0,112.0,,,,,,,,
11155.0,402,26.0,294.0,141.0,,,,,,,,
11202.0,403,34.0,286.0,94.0,,,,,,,,
11181.0,404,28.0,292.0,115.0,,,,,,,,
11176.0,405,33.0,287.0,120.0,,,,,,,,
11173.0,406,23.0,297.0,123.0,,,,,,,,
11164.0,407,24.0,296.0,132.0,,,,,,,,
11179.0,408,34.0,286.0,117.0,,,,,,,,
11161.0,409,42.0,278.0,135.0,,,,,,,,
11172.0,410,38.0,282.0,124.0,,,,,,,,
11167.0,411,26.0,294.0,129.0,,,,,,,,
11164.0,412,27.0,293.0,132.0,,,,,,,,
11183.0,413,28.0,292.0,113.0,,,,,,,,
11162.0,414,24.0,296.0,134.0,,,,,,,,
11171.0,415,30.0,290.0,125.0,,,,,,,,
11174.0,416,25.0,295.0,122.0,,,,,,,,
11199.0,417,29.0,291.0,97.0,,,,,,,,
11158.0,418,28.0,292.0,138.0,,,,,,,,
11167.0,419,24.0,296.0,129.0,,,,,,,,
11171.0,420,23.0,297.0,125.0,,,,,,,,
11162.0,421,29.0,291.0,134.0,,,,,,,,
11176.0,422,29.0,291.0,120.0,,,,,,,,
11169.0,423,28.0,292.0,127.0,,,,,,,,
11157.0,424,39.0,281.0,139.0,,,,,,,,
11165.0,425,34.0,286.0,131.0,,,,,,,,
11151.0,426,30.0,290.0,145.0,,,,,,,,
11162.0,427,19.0,301.0,134.0,,,,,,,,
11171.0,428,25.0,295.0,125.0,,,,,,,,
11155.0,429,26.0,294.0,141.0,,,,,,,,
11162.0,430,21.0,299.0,134.0,,,,,,,,
11182.0,431,29.0,291.0,114.0,,,,,,,,
11170.0,432,12.0,308.0,126.0,,,,,,,,
11163.0,433,36.0,284.0,133.0,,,,,,,,
11161.0,434,28.0,292.0,135.0,,,,,,,,
11180.0,435,30.0,290.0,116.0,,,,,,,,
11187.0,436,30.0,290.0,109.0,,,,,,,,
11184.0,437,32.0,288.0,112.0,,,,,,,,
11180.0,438,25.0,295.0,116.0,,,,,,,,
11167.0,439,36.0,284.0,129.0,,,,,,,,
11145.0,440,35.0,285.0,151.0,,,,,,,,
11159.0,441,28.0,292.0,137.0,,,,,,,,
11162.0,442,30.0,290.0,134.0,,,,,,,,
11188.0,443,28.0,292.0,108.0,,,,,,,,
11183.0,444,31.0,289.0,113.0,,,,,,,,
11169.0,445,30.0,290.0,127.0,,,,,,,,
11151.0,446,32.0,288.0,145.0,,,,,,,,
11170.0,447,29.0,291.0,126.0,,,,,,,,
11162.0,448,22.0,298.0,134.0,,,,,,,,
11152.0,449,29.0,291.0,144.0,,,,,,,,
11170.0,450,43.0,277.0,126.0,,,,,,,,
11177.0,451,29.0,291.0,119.0,,,,,,,,
11177.0,452,22.0,298.0,119.0,,,,,,,,
11175.0,453,29.0,291.0,121.0,,,,,,,,
11166.0,454,27.0,293.0,130.0,,,,,,,,
11172.0,455,34.0,286.0,124.0,,,,,,,,
11174.0,456,22.0,298.0,122.0,,,,,,,,
11169.0,457,27.0,293.0,127.0,,,,,,,,
11151.0,458,29.0,291.0,145.0,,,,,,,,
11149.0,459,33.0,287.0,147.0,,,,,,,,
11163.0,460,39.0,281.0,133.0,,,,,,,,
11177.0,461,33.0,287.0,119.0,,,,,,,,
11189.0,462,25.0,295.0,107.0,,,,,,,,
