valid_tp_step,step,valid_tn_step,valid_fn_step,valid_fp_step,valid_WAcc,epoch,valid_tp_epoch,valid_fp_epoch,valid_F1,valid_tn_epoch,valid_fn_epoch,valid_Loss
182.0,464,7295.0,1.0,4138.0,,,,,,,,
146.0,465,7296.0,0.0,4174.0,,,,,,,,
179.0,466,7295.0,1.0,4141.0,,,,,,,,
145.0,467,7296.0,0.0,4175.0,,,,,,,,
166.0,468,7295.0,1.0,4154.0,,,,,,,,
191.0,469,7295.0,1.0,4129.0,,,,,,,,
169.0,470,7295.0,1.0,4151.0,,,,,,,,
144.0,471,7296.0,0.0,4176.0,,,,,,,,
147.0,472,7296.0,0.0,4173.0,,,,,,,,
153.0,473,7295.0,1.0,4167.0,,,,,,,,
139.0,474,7296.0,0.0,4181.0,,,,,,,,
144.0,475,7296.0,0.0,4176.0,,,,,,,,
163.0,476,7296.0,0.0,4157.0,,,,,,,,
155.0,477,7296.0,0.0,4165.0,,,,,,,,
157.0,478,7296.0,0.0,4163.0,,,,,,,,
160.0,479,7295.0,1.0,4160.0,,,,,,,,
166.0,480,7296.0,0.0,4154.0,,,,,,,,
167.0,481,7295.0,1.0,4153.0,,,,,,,,
