valid_tn_step,valid_tp_step,valid_fp_step,step,valid_fn_step,valid_F1,valid_Loss,valid_fp_epoch,valid_tp_epoch,valid_tn_epoch,valid_WAcc,epoch,valid_fn_epoch
11475.0,0.0,0.0,438,141.0,,,,,,,,
11451.0,0.0,0.0,439,165.0,,,,,,,,
11430.0,0.0,0.0,440,186.0,,,,,,,,
11451.0,0.0,0.0,441,165.0,,,,,,,,
11452.0,0.0,0.0,442,164.0,,,,,,,,
11480.0,0.0,0.0,443,136.0,,,,,,,,
11472.0,0.0,0.0,444,144.0,,,,,,,,
11459.0,0.0,0.0,445,157.0,,,,,,,,
11439.0,0.0,0.0,446,177.0,,,,,,,,
11461.0,0.0,0.0,447,155.0,,,,,,,,
11460.0,0.0,0.0,448,156.0,,,,,,,,
11443.0,0.0,0.0,449,173.0,,,,,,,,
11447.0,0.0,0.0,450,169.0,,,,,,,,
11468.0,0.0,0.0,451,148.0,,,,,,,,
11475.0,0.0,0.0,452,141.0,,,,,,,,
11466.0,0.0,0.0,453,150.0,,,,,,,,
11459.0,0.0,0.0,454,157.0,,,,,,,,
11458.0,0.0,0.0,455,158.0,,,,,,,,
11472.0,0.0,0.0,456,144.0,,,,,,,,
11462.0,0.0,0.0,457,154.0,,,,,,,,
11442.0,0.0,0.0,458,174.0,,,,,,,,
11436.0,0.0,0.0,459,180.0,,,,,,,,
11444.0,0.0,0.0,460,172.0,,,,,,,,
11464.0,0.0,0.0,461,152.0,,,,,,,,
11484.0,0.0,0.0,462,132.0,,,,,,,,
11449.0,0.0,0.0,463,167.0,,,,,,,,
11433.0,0.0,0.0,464,183.0,,,,,,,,
11470.0,0.0,0.0,465,146.0,,,,,,,,
11436.0,0.0,0.0,466,180.0,,,,,,,,
11471.0,0.0,0.0,467,145.0,,,,,,,,
11449.0,0.0,0.0,468,167.0,,,,,,,,
11424.0,0.0,0.0,469,192.0,,,,,,,,
11446.0,0.0,0.0,470,170.0,,,,,,,,
11472.0,0.0,0.0,471,144.0,,,,,,,,
11469.0,0.0,0.0,472,147.0,,,,,,,,
11462.0,0.0,0.0,473,154.0,,,,,,,,
11477.0,0.0,0.0,474,139.0,,,,,,,,
11472.0,0.0,0.0,475,144.0,,,,,,,,
11453.0,0.0,0.0,476,163.0,,,,,,,,
11461.0,0.0,0.0,477,155.0,,,,,,,,
11459.0,0.0,0.0,478,157.0,,,,,,,,
11455.0,0.0,0.0,479,161.0,,,,,,,,
11450.0,0.0,0.0,480,166.0,,,,,,,,
11448.0,0.0,0.0,481,168.0,,,,,,,,
11465.0,0.0,0.0,482,151.0,,,,,,,,
11446.0,0.0,0.0,483,170.0,,,,,,,,
11461.0,0.0,0.0,484,155.0,,,,,,,,
11473.0,0.0,0.0,485,143.0,,,,,,,,
11458.0,0.0,0.0,486,158.0,,,,,,,,
