valid_tn_step,valid_fp_step,valid_tp_step,valid_fn_step,step,valid_tp_epoch,valid_fn_epoch,valid_F1,epoch,valid_Loss,valid_fp_epoch,valid_tn_epoch,valid_WAcc
10128.0,1336.0,72.0,80.0,334,,,,,,,,
10130.0,1334.0,74.0,78.0,335,,,,,,,,
10135.0,1320.0,88.0,73.0,336,,,,,,,,
10127.0,1324.0,84.0,81.0,337,,,,,,,,
10137.0,1322.0,86.0,71.0,338,,,,,,,,
10127.0,1323.0,85.0,81.0,339,,,,,,,,
10145.0,1321.0,87.0,63.0,340,,,,,,,,
10140.0,1332.0,76.0,68.0,341,,,,,,,,
10147.0,1323.0,85.0,61.0,342,,,,,,,,
10141.0,1329.0,79.0,67.0,343,,,,,,,,
10143.0,1347.0,61.0,65.0,344,,,,,,,,
10139.0,1328.0,80.0,69.0,345,,,,,,,,
10133.0,1318.0,90.0,75.0,346,,,,,,,,
10134.0,1338.0,70.0,74.0,347,,,,,,,,
10139.0,1346.0,62.0,69.0,348,,,,,,,,
10119.0,1326.0,82.0,89.0,349,,,,,,,,
10125.0,1328.0,80.0,83.0,350,,,,,,,,
10134.0,1339.0,69.0,74.0,351,,,,,,,,
10138.0,1313.0,95.0,70.0,352,,,,,,,,
10136.0,1320.0,88.0,72.0,353,,,,,,,,
10138.0,1339.0,69.0,70.0,354,,,,,,,,
10143.0,1326.0,82.0,65.0,355,,,,,,,,
10134.0,1335.0,73.0,74.0,356,,,,,,,,
10125.0,1329.0,79.0,83.0,357,,,,,,,,
10124.0,1346.0,62.0,84.0,358,,,,,,,,
10138.0,1326.0,82.0,70.0,359,,,,,,,,
10140.0,1326.0,82.0,68.0,360,,,,,,,,
10122.0,1319.0,89.0,86.0,361,,,,,,,,
10128.0,1323.0,85.0,80.0,362,,,,,,,,
10113.0,1321.0,87.0,95.0,363,,,,,,,,
10136.0,1332.0,76.0,72.0,364,,,,,,,,
10136.0,1331.0,77.0,72.0,365,,,,,,,,
10135.0,1338.0,70.0,73.0,366,,,,,,,,
10133.0,1341.0,67.0,75.0,367,,,,,,,,
10128.0,1331.0,77.0,80.0,368,,,,,,,,
10139.0,1337.0,71.0,69.0,369,,,,,,,,
10129.0,1314.0,94.0,79.0,370,,,,,,,,
10129.0,1340.0,68.0,79.0,371,,,,,,,,
10121.0,1319.0,89.0,87.0,372,,,,,,,,
10137.0,1321.0,87.0,71.0,373,,,,,,,,
10123.0,1315.0,93.0,85.0,374,,,,,,,,
10135.0,1317.0,91.0,73.0,375,,,,,,,,
10127.0,1325.0,83.0,81.0,376,,,,,,,,
10126.0,1324.0,84.0,82.0,377,,,,,,,,
10145.0,1324.0,84.0,63.0,378,,,,,,,,
10133.0,1330.0,78.0,75.0,379,,,,,,,,
10115.0,1338.0,70.0,93.0,380,,,,,,,,
10125.0,1316.0,92.0,83.0,381,,,,,,,,
10128.0,1326.0,82.0,80.0,382,,,,,,,,
10118.0,1330.0,78.0,90.0,383,,,,,,,,
10134.0,1310.0,98.0,74.0,384,,,,,,,,
10128.0,1329.0,79.0,80.0,385,,,,,,,,
10139.0,1324.0,84.0,69.0,386,,,,,,,,
10129.0,1339.0,69.0,79.0,387,,,,,,,,
10125.0,1326.0,82.0,83.0,388,,,,,,,,
10126.0,1337.0,71.0,82.0,389,,,,,,,,
10129.0,1327.0,81.0,79.0,390,,,,,,,,
10136.0,1326.0,82.0,72.0,391,,,,,,,,
10125.0,1315.0,93.0,83.0,392,,,,,,,,
10145.0,1333.0,75.0,63.0,393,,,,,,,,
10129.0,1339.0,69.0,79.0,394,,,,,,,,
10129.0,1312.0,96.0,79.0,395,,,,,,,,
10144.0,1330.0,78.0,64.0,396,,,,,,,,
10137.0,1330.0,78.0,71.0,397,,,,,,,,
10143.0,1330.0,78.0,65.0,398,,,,,,,,
10136.0,1320.0,88.0,72.0,399,,,,,,,,
10134.0,1332.0,76.0,74.0,400,,,,,,,,
10139.0,1338.0,70.0,69.0,401,,,,,,,,
10131.0,1318.0,90.0,77.0,402,,,,,,,,
10159.0,1329.0,79.0,49.0,403,,,,,,,,
10131.0,1342.0,66.0,77.0,404,,,,,,,,
10139.0,1324.0,84.0,69.0,405,,,,,,,,
10132.0,1338.0,70.0,76.0,406,,,,,,,,
10135.0,1325.0,83.0,73.0,407,,,,,,,,
10136.0,1329.0,79.0,72.0,408,,,,,,,,
10123.0,1316.0,92.0,85.0,409,,,,,,,,
10129.0,1325.0,83.0,79.0,410,,,,,,,,
10134.0,1327.0,81.0,74.0,411,,,,,,,,
10133.0,1324.0,84.0,75.0,412,,,,,,,,
10142.0,1333.0,75.0,66.0,413,,,,,,,,
10133.0,1325.0,83.0,75.0,414,,,,,,,,
10129.0,1332.0,76.0,79.0,415,,,,,,,,
10133.0,1336.0,72.0,75.0,416,,,,,,,,
10154.0,1336.0,72.0,54.0,417,,,,,,,,
10128.0,1322.0,86.0,80.0,418,,,,,,,,
10132.0,1331.0,77.0,76.0,419,,,,,,,,
10119.0,1349.0,59.0,89.0,420,,,,,,,,
10126.0,1327.0,81.0,82.0,421,,,,,,,,
10137.0,1330.0,78.0,71.0,422,,,,,,,,
10126.0,1335.0,73.0,82.0,423,,,,,,,,
10125.0,1313.0,95.0,83.0,424,,,,,,,,
10136.0,1315.0,93.0,72.0,425,,,,,,,,
10114.0,1327.0,81.0,94.0,426,,,,,,,,
10131.0,1332.0,76.0,77.0,427,,,,,,,,
10130.0,1336.0,72.0,78.0,428,,,,,,,,
10117.0,1332.0,76.0,91.0,429,,,,,,,,
10124.0,1337.0,71.0,84.0,430,,,,,,,,
10141.0,1332.0,76.0,67.0,431,,,,,,,,
10130.0,1348.0,60.0,78.0,432,,,,,,,,
10126.0,1321.0,87.0,82.0,433,,,,,,,,
10124.0,1329.0,79.0,84.0,434,,,,,,,,
10144.0,1326.0,82.0,64.0,435,,,,,,,,
10138.0,1339.0,69.0,70.0,436,,,,,,,,
10142.0,1330.0,78.0,66.0,437,,,,,,,,
10144.0,1331.0,77.0,64.0,438,,,,,,,,
10125.0,1326.0,82.0,83.0,439,,,,,,,,
10125.0,1305.0,103.0,83.0,440,,,,,,,,
10125.0,1326.0,82.0,83.0,441,,,,,,,,
10136.0,1316.0,92.0,72.0,442,,,,,,,,
10146.0,1334.0,74.0,62.0,443,,,,,,,,
